# epoch loss
1 40514.1
2 1.60056
3 1.25435
4 1.25857
5 1.24994
6 1.34198
7 1.46894
8 1.87458
9 1.6283
10 1.73155
11 1.98341
12 2.08076
13 2.13078
14 2.08258
15 2.22858
16 2.86501
17 2.8702
18 2.38347
19 3.85182
20 2.66342
21 2.87485
22 2.40756
23 1.99942
24 1.9851
25 2.03885
26 1.98576
27 2.83583
28 1.93715
29 3.34082
30 2.27451
31 1.84053
32 2.12602
33 2.47553
34 2.06403
35 2.50265
36 2.1074
37 1.44354
38 2.32453
39 1.45457
40 1.99951
41 2.06295
42 2.306
43 1.645
44 1.59924
45 1.48246
46 2.33757
47 1.57189
48 1.6762
49 1.58956
50 1.47579
51 1.64763
52 1.80707
53 1.20338
54 2.12697
55 1.29381
56 1.5987
57 1.47942
58 1.61893
59 1.39362
60 1.09619
61 1.6337
62 1.15857
63 1.09753
64 1.18166
65 1.08265
66 1.3455
67 1.37256
68 1.18066
69 1.4077
70 1.81976
71 1.97385
72 2.06265
73 1.76107
74 2.33975
75 2.94009
76 3.10281
77 3.23285
78 4.44102
79 4.45987
80 6.97161
81 7.89035
82 9.40749
83 13.4275
84 18.0868
85 52.9878
86 82.3557
87 365.669
88 284.436
89 327.255
90 294.602
91 284.776
92 236.661
93 244.628
94 198.021
95 222.099
96 161.26
97 163.285
98 452.774
99 282.844
100 139.092
