# epoch loss
1 5.4509
2 6.44756
3 7.07625
4 7.61784
5 7.71368
6 7.86552
7 7.85928
8 7.94647
9 7.87107
10 7.91895
11 7.90059
12 7.82954
13 7.8997
14 7.91441
15 7.93064
16 7.98242
17 7.87731
18 7.87964
19 8.01594
20 8.00385
21 7.90413
22 7.98136
23 7.92076
24 7.93924
25 7.89166
26 7.96295
27 7.89589
28 7.95229
29 7.9915
30 7.90802
31 7.99698
32 7.9125
33 7.90148
34 7.96292
35 7.96807
36 7.90699
37 7.93329
38 7.99573
39 7.91147
40 7.94044
41 7.93976
42 7.94782
43 7.89664
44 7.97462
45 7.93612
46 7.94046
47 8.02767
48 7.99291
49 8.00426
50 7.96119
51 7.98537
52 7.99019
53 7.88845
54 7.93187
55 8.00604
56 7.94118
57 7.92665
58 7.91
59 7.89902
60 7.98049
61 8.05444
62 7.89791
63 7.90896
64 7.96119
65 7.91629
66 7.99723
67 7.94046
68 7.97155
69 7.96119
70 7.92665
71 7.89211
72 7.95083
73 7.97103
74 7.97155
75 7.94737
76 7.99227
77 7.88359
78 7.83685
79 7.90247
80 7.9681
81 7.97846
82 7.89604
83 7.96464
84 7.96119
85 8.01645
86 7.96464
87 7.94737
88 7.97846
89 8.0199
90 7.97365
91 7.87484
92 7.99918
93 7.87484
94 7.8783
95 8.00263
96 7.94737
97 7.94737
98 7.99227
99 7.94046
100 7.96216
