# epoch loss
1 6.0688
2 6.39097
3 6.35605
4 6.3383
5 5.97119
6 6.0018
7 5.45671
8 5.45193
9 5.73495
10 5.35383
11 5.35374
12 5.35379
13 5.4018
14 5.41854
15 5.41943
16 5.41915
17 5.41907
18 5.71344
19 6.36303
20 6.02623
21 6.74083
22 6.72549
23 6.73658
24 6.15231
25 5.65069
26 5.54952
27 5.54529
28 5.54523
29 5.54525
30 5.73202
31 5.49199
32 5.51852
33 5.51866
34 5.52635
35 5.51868
36 6.00085
37 5.78978
38 5.63926
39 5.51833
40 5.51833
41 5.51829
42 5.51828
43 5.51818
44 5.51451
45 5.63055
46 5.53652
47 5.54519
48 5.54518
49 5.54519
50 5.54519
51 5.5452
52 5.5452
53 5.54519
54 5.5452
55 5.54521
56 5.54523
57 6.06652
58 5.82142
59 5.66215
60 5.68031
61 5.68033
62 5.68034
63 5.68029
64 5.72963
65 5.92957
66 5.70478
67 5.70482
68 5.70507
69 5.7065
70 5.60513
71 5.6053
72 5.60526
73 5.85652
74 6.02459
75 6.37547
76 6.3427
77 6.34533
78 5.71013
79 5.7123
80 5.54522
81 5.61214
82 5.54525
83 5.54527
84 5.54527
85 5.54535
86 5.73266
87 5.66832
88 5.65028
89 5.65027
90 5.65034
91 5.65037
92 5.65039
93 5.69301
94 5.972
95 5.54512
96 5.54513
97 5.54509
98 5.54513
99 5.60628
100 5.6049
