# epoch loss
1 0.739475
2 0.701507
3 0.705594
4 0.712955
5 0.712782
6 0.709737
7 0.710403
8 0.717576
9 0.721801
10 0.712356
11 0.705026
12 0.703054
13 0.703138
14 0.703414
15 0.705732
16 0.705568
17 0.706389
18 0.705187
19 0.704604
20 0.704195
21 0.703569
22 0.703085
23 0.701321
24 0.696005
25 0.695556
26 0.692563
27 0.690645
28 0.688767
29 0.687056
30 0.685743
31 0.684158
32 0.683543
33 0.682738
34 0.682637
35 0.682054
36 0.681867
37 0.681018
38 0.680045
39 0.679806
40 0.679516
41 0.678904
42 0.678659
43 0.678563
44 0.678517
45 0.67866
46 0.678353
47 0.678082
48 0.677892
49 0.678265
50 0.679268
51 0.678421
52 0.677724
53 0.677426
54 0.677379
55 0.676947
56 0.676727
57 0.676595
58 0.67652
59 0.676458
60 0.676398
61 0.676313
62 0.676111
63 0.675913
64 0.675762
65 0.67596
66 0.675948
67 0.675717
68 0.675306
69 0.674975
70 0.674791
71 0.6747
72 0.674465
73 0.674384
74 0.674048
75 0.673583
76 0.673201
77 0.673225
78 0.672695
79 0.672284
80 0.671945
81 0.671452
82 0.671287
83 0.670916
84 0.670496
85 0.67003
86 0.669861
87 0.669114
88 0.668669
89 0.668335
90 0.667627
91 0.667435
92 0.666753
93 0.665666
94 0.665046
95 0.664386
96 0.663552
97 0.662525
98 0.661769
99 0.660615
100 0.659751
