# epoch loss
1 0.84497
2 0.741252
3 0.717114
4 0.707106
5 0.707219
6 0.709165
7 0.709551
8 0.707202
9 0.706202
10 0.703915
11 0.698704
12 0.691906
13 0.691324
14 0.692381
15 0.694746
16 0.696257
17 0.695282
18 0.693978
19 0.691894
20 0.691191
21 0.690585
22 0.689395
23 0.689631
24 0.687283
25 0.683829
26 0.682315
27 0.678983
28 0.676332
29 0.673677
30 0.672391
31 0.671026
32 0.668939
33 0.667852
34 0.667633
35 0.665356
36 0.66424
37 0.662681
38 0.661772
39 0.660974
40 0.660337
41 0.659191
42 0.658718
43 0.660222
44 0.658434
45 0.657714
46 0.657875
47 0.656529
48 0.656073
49 0.655552
50 0.655337
51 0.655147
52 0.655163
53 0.654932
54 0.654966
55 0.65474
56 0.654481
57 0.653943
58 0.653755
59 0.653701
60 0.653334
61 0.653026
62 0.653098
63 0.653226
64 0.652842
65 0.652705
66 0.65236
67 0.652397
68 0.652497
69 0.652373
70 0.651958
71 0.652014
72 0.652132
73 0.651311
74 0.651364
75 0.651391
76 0.651176
77 0.651197
78 0.650942
79 0.650989
80 0.651727
81 0.650943
82 0.650652
83 0.649517
84 0.649054
85 0.6488
86 0.648187
87 0.647099
88 0.647097
89 0.647553
90 0.646415
91 0.645618
92 0.644784
93 0.644121
94 0.645556
95 0.643872
96 0.643736
97 0.64384
98 0.643765
99 0.642696
100 0.642179
