# epoch loss
1 0.727855
2 0.712364
3 0.711248
4 0.707453
5 0.707999
6 0.707776
7 0.708986
8 0.711171
9 0.707727
10 0.704464
11 0.703169
12 0.701722
13 0.701147
14 0.699612
15 0.699978
16 0.698548
17 0.699146
18 0.697427
19 0.698532
20 0.695986
21 0.694392
22 0.692408
23 0.69011
24 0.691096
25 0.689984
26 0.688684
27 0.687788
28 0.687427
29 0.687351
30 0.686683
31 0.685612
32 0.685052
33 0.684157
34 0.683531
35 0.684756
36 0.683889
37 0.683896
38 0.684113
39 0.683657
40 0.68147
41 0.682539
42 0.680813
43 0.682094
44 0.682468
45 0.680895
46 0.680889
47 0.680487
48 0.680362
49 0.681259
50 0.681866
51 0.680303
52 0.679739
53 0.68003
54 0.679109
55 0.679419
56 0.678352
57 0.678188
58 0.677841
59 0.678166
60 0.678563
61 0.677513
62 0.677574
63 0.676759
64 0.67684
65 0.677448
66 0.677843
67 0.676597
68 0.676169
69 0.676445
70 0.675676
71 0.675658
72 0.67676
73 0.67627
74 0.675051
75 0.675966
76 0.675795
77 0.67646
78 0.674196
79 0.675694
80 0.674478
81 0.674492
82 0.672848
83 0.673341
84 0.675068
85 0.673189
86 0.67328
87 0.6723
88 0.67215
89 0.674248
90 0.672208
91 0.671533
92 0.671814
93 0.671198
94 0.671769
95 0.670965
96 0.670897
97 0.671302
98 0.670894
99 0.671544
100 0.670746
